num_knapsacks,gurobi_obj,gurobi_soltime,status,greedy_obj,greedy_soltime
50,67583.0,0.04876123,OPTIMAL,67577,0.000991105
150,113056.0,0.161589675,OPTIMAL,112996,0.001732544
250,144211.0,0.311888302,OPTIMAL,144064,0.002547885
350,170256.0,600,TIME_LIMIT,170918,0.00483306
450,193185.0,600,TIME_LIMIT,193802,0.003761084
550,209833.0,600,TIME_LIMIT,210413,0.006573588
650,220600.0,600,TIME_LIMIT,221221,0.003884542
750,226505.0,600,TIME_LIMIT,227199,0.005764674
850,229788.0,2.966548554,OPTIMAL,229788,0.006165958
